Name,latitude,longitude,Address
City Library,-37.81658,144.96541,"253 Flinders Ln, Melbourne VIC 3000"
East Melbourne Library,-37.81347,144.98555,"122 George St, East Melbourne VIC 3002"
Kathleen Syme Library and Community Centre,-37.79973,144.96556,"251 Faraday St, Carlton VIC 3053"
Library at The Dock,-37.82005,144.94064,"107 Victoria Harbour Promenade, Docklands VIC 3008"
narrm ngarrgu Library,-37.80735,144.95874,"141 Therry St, Melbourne VIC 3000"
North Melbourne Library,-37.80053,144.94635,"167 Errol St, North Melbourne VIC 3051"
Southbank Library,-37.82464,144.96929,"Boyd Community Hub, 207 City Rd, Southbank VIC 3006"
